Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	EvalWin	EvalScore	Entropy	KL	ClipFrac	StopIter	Time
45	0.0	10.0	10.0	-10.0	136.55556	-0.010048073	2.760555	10.914693	-12.010358	184000	-0.07215433	-0.0038768202	32.746983	-0.1495107	0.2881526	0.29367468	0.72154325	0.00042107678	0.021108063	79.0	439.84940910339355
46	0.0	10.0	10.0	-10.0	117.4	0.0026653728	2.720589	11.042195	-11.724731	188000	-0.07137388	-0.0038908385	32.45657	-0.14389102	0.2881526	0.29367468	0.7137389	0.00024507835	0.021148808	79.0	445.1170029640198
47	0.0	10.0	10.0	-10.0	127.48148	0.008541936	2.6485686	11.64991	-11.654065	192000	-0.07059145	-0.0039010942	32.14193	-0.13289578	0.2881526	0.29367468	0.7059145	0.0005758019	0.020742098	79.0	450.4437372684479
48	0.0	10.0	10.0	-10.0	165.4762	0.024998657	2.54511	11.388445	-12.027659	196000	-0.0698762	-0.003961069	31.758585	-0.118909836	0.2881526	0.29367468	0.698762	0.00033304104	0.02106443	79.0	455.75147247314453
49	0.0	10.0	10.0	-10.0	162.95653	0.00042148394	2.7473145	12.40666	-13.179547	200000	-0.06916555	-0.0039742417	31.437998	-0.10639826	0.2881526	0.29367468	0.69165546	0.00072613126	0.021181181	79.0	461.0602295398712
50	0.0	10.0	10.0	-10.0	143.875	-0.005386958	2.767279	11.470919	-12.330157	204000	-0.06845896	-0.0040083877	31.174864	-0.090325035	0.43473896	0.45783135	0.6845896	0.00040582148	0.02138413	79.0	583.8323991298676
51	0.0	10.0	10.0	-10.0	134.56	-0.008319862	2.8162448	11.460456	-11.3922	208000	-0.067732394	-0.0040174634	30.920242	-0.079743065	0.43473896	0.45783135	0.6773239	0.0004311914	0.021037864	79.0	589.1262900829315
52	0.0	10.0	10.0	-10.0	158.2	0.0012059278	2.6587224	11.544665	-11.964176	212000	-0.06710532	-0.004040076	30.587652	-0.07135073	0.43473896	0.45783135	0.6710532	0.0006775325	0.020815628	79.0	594.4398808479309
53	0.0	10.0	10.0	-10.0	156.81818	0.0112478575	2.6938074	11.8784485	-13.911189	216000	-0.06652912	-0.0040450967	30.310236	-0.06663799	0.43473896	0.45783135	0.665291	0.00040024487	0.02093297	79.0	599.8558323383331
54	0.0	10.0	10.0	-10.0	140.28	0.03152696	2.6707733	11.131429	-12.352928	220000	-0.06597086	-0.004084442	30.120157	-0.062220257	0.43473896	0.45783135	0.6597087	0.00021372114	0.021232596	79.0	605.3342118263245
55	0.0	10.0	10.0	-10.0	151.45454	0.0039499053	2.7390811	12.4429245	-12.318831	224000	-0.06542056	-0.004064873	29.904467	-0.058194797	0.43473896	0.45783135	0.65420556	0.00073564146	0.021018786	79.0	610.8663156032562
56	0.0	10.0	10.0	-10.0	192.57895	0.018732753	2.6288626	12.221925	-13.188018	228000	-0.06491817	-0.004063902	29.66835	-0.054456394	0.43473896	0.45783135	0.64918166	0.0001310026	0.020445885	79.0	616.4079740047455
57	0.0	10.0	10.0	-10.0	138.625	0.0017383347	2.5726845	11.426832	-12.051938	232000	-0.064464085	-0.004059954	29.473799	-0.051113445	0.43473896	0.45783135	0.64464086	0.0009518606	0.020246537	79.0	622.0281631946564
58	0.0	10.0	10.0	-10.0	130.57143	-0.023102164	3.1448717	11.937294	-12.78357	236000	-0.06397676	-0.0040629446	29.342245	-0.047204018	0.43473896	0.45783135	0.63976747	0.00010024859	0.020291477	79.0	627.7399244308472
59	0.0	10.0	10.0	-10.0	154.5	-0.024666622	2.693718	11.377479	-12.858059	240000	-0.06349032	-0.004063852	29.169348	-0.043637592	0.43473896	0.45783135	0.6349031	-7.132856e-05	0.020222306	79.0	633.5996177196503
60	0.0	10.0	10.0	-10.0	135.42308	-0.008288203	2.9180205	11.471186	-12.010442	244000	-0.063069	-0.004032321	29.004076	-0.037929535	0.47088352	0.50853413	0.63069004	1.692022e-05	0.019927716	79.0	767.9158120155334
61	0.0	10.0	10.0	-10.0	140.24	0.04264865	2.7540789	11.2625675	-11.821575	248000	-0.06258542	-0.0040622302	28.876244	-0.040738106	0.47088352	0.50853413	0.6258541	0.00014779405	0.020589137	79.0	773.9317579269409
62	0.0	10.0	10.0	-10.0	149.33333	-0.013667951	3.0555184	12.543968	-13.039898	252000	-0.0621507	-0.004020687	28.751694	-0.036575317	0.47088352	0.50853413	0.62150687	0.0006500594	0.020107409	79.0	779.9434387683868
63	0.0	10.0	10.0	-10.0	193.05556	-0.026596015	2.8241918	12.557226	-12.59459	256000	-0.06176002	-0.0040276125	28.551031	-0.033843994	0.47088352	0.50853413	0.61760026	0.0010148248	0.01991249	79.0	786.0594148635864
64	0.0	10.0	10.0	-10.0	155.45	-0.038514234	2.86051	11.3935175	-11.510507	260000	-0.061373483	-0.0039842	28.37787	-0.032262802	0.47088352	0.50853413	0.6137348	0.0001267175	0.019532995	79.0	792.0498342514038
65	0.0	10.0	10.0	-10.0	154.31818	0.0021185263	2.7373416	11.232392	-12.011012	264000	-0.06092686	-0.00399652	28.162676	-0.031393368	0.47088352	0.50853413	0.6092684	-9.425735e-05	0.020340417	79.0	798.1263248920441
66	0.0	10.0	10.0	-10.0	137.625	0.00036639662	2.7929623	11.247794	-12.33245	268000	-0.060429845	-0.00396652	28.004435	-0.029554049	0.47088352	0.50853413	0.6042985	0.00034092052	0.019896762	79.0	804.2081062793732
67	0.0	10.0	10.0	-10.0	149.0	-0.0064551705	2.959179	12.113501	-13.450154	272000	-0.060004633	-0.0039459616	27.864458	-0.028601965	0.47088352	0.50853413	0.60004634	0.0006571025	0.019876493	79.0	810.3751213550568
68	0.0	10.0	10.0	-10.0	113.5	-0.00035023713	2.718298	12.085922	-12.270378	276000	-0.05953371	-0.003941378	27.82133	-0.02780819	0.47088352	0.50853413	0.5953371	0.0003756016	0.02003634	79.0	816.577752828598
69	0.0	10.0	10.0	-10.0	124.333336	-0.02247223	2.7607908	11.463118	-11.847418	280000	-0.059166584	-0.0039093425	27.70629	-0.027296066	0.47088352	0.50853413	0.5916659	0.00043501353	0.019975333	79.0	822.86878657341
70	0.0	10.0	10.0	-10.0	137.7619	-0.015611675	2.866562	11.803898	-12.900131	284000	-0.058764298	-0.0039001394	27.557535	-0.026288986	0.51506025	0.562751	0.5876429	0.00042331184	0.019768007	79.0	963.3478338718414
71	0.0	10.0	10.0	-10.0	131.0	-0.011970144	2.8282366	11.780951	-11.900963	288000	-0.05836183	-0.0038832158	27.394028	-0.026039442	0.51506025	0.562751	0.5836182	0.0007151842	0.019708944	79.0	969.6684584617615
